city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Pune,Rising Pune Supergiant,Rising Pune Supergiant,Punjab Kings,field,Rising Pune Supergiant,0.0,9.0
Delhi,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,10.0,0.0
Mumbai,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,field,Rising Pune Supergiant,20.0,0.0
Bangalore,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Bangalore,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,0.0,6.0
Hyderabad,Mumbai Indians,Mumbai Indians,Rising Pune Supergiant,bat,Mumbai Indians,1.0,0.0
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,1.0
Chandigarh,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0.0,6.0
Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,4.0
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,9.0
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Jaipur,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,10.0,0.0
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,1.0
Bengaluru,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,4.0
Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0.0,7.0
Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,5.0
Bengaluru,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,19.0,0.0
Chandigarh,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,4.0,0.0
Kolkata,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Kolkata Knight Riders,71.0,0.0
Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,46.0,0.0
Jaipur,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Chandigarh,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,15.0,0.0
Pune,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,64.0,0.0
Kolkata,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0.0,9.0
Bengaluru,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,6.0
Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,4.0,0.0
Jaipur,Mumbai Indians,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,0.0,3.0
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,4.0,0.0
