city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Unknown,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,57.0,0.0
Abu Dhabi,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,6.0
Abu Dhabi,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,17.0,0.0
Unknown,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,0.0,5.0
Chennai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,2.0
Mumbai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,0.0,7.0
Chennai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,10.0,0.0
Mumbai,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,4.0,0.0
Chennai,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,10.0,0.0
Chennai,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,6.0,0.0
Mumbai,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Chennai,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,13.0,0.0
Chennai,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore,38.0,0.0
Mumbai,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0.0,6.0
Mumbai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,45.0,0.0
Chennai,Mumbai Indians,Mumbai Indians,Delhi Capitals,bat,Delhi Capitals,0.0,6.0
Chennai,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,9.0
Mumbai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,18.0,0.0
Mumbai,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,10.0
Chennai,Punjab Kings,Mumbai Indians,Punjab Kings,field,Punjab Kings,0.0,9.0
Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,6.0
Mumbai,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,69.0,0.0
Chennai,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,0.0
Ahmedabad,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,5.0
Ahmedabad,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,1.0,0.0
Delhi,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,0.0,7.0
Delhi,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0.0,7.0
Ahmedabad,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0.0,7.0
Ahmedabad,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,34.0,0.0
Delhi,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0.0,4.0
Delhi,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,55.0,0.0
Ahmedabad,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0.0,7.0
Abu Dhabi,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,9.0
Abu Dhabi,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,42.0,0.0
Abu Dhabi,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Sharjah,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,bat,Royal Challengers Bangalore,6.0,0.0
Sharjah,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Sharjah,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,3.0
Sharjah,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0.0,8.0
Dubai,Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Kings,0.0,6.0
Abu Dhabi,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Sunrisers Hyderabad,4.0,0.0
Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Abu Dhabi,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,Delhi Capitals,33.0,0.0
Abu Dhabi,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,0.0,2.0
Abu Dhabi,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0.0,6.0
Dubai,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,7.0
Dubai,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,7.0
Dubai,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0.0,5.0
Dubai,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,7.0
Dubai,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,20.0,0.0
Dubai,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,0.0,8.0
Sharjah,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,86.0,0.0
Sharjah,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Punjab Kings,5.0,0.0
Dubai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,54.0,0.0
Dubai,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,6.0
Dubai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Delhi Capitals,0.0,3.0
Dubai,Punjab Kings,Rajasthan Royals,Punjab Kings,field,Rajasthan Royals,2.0,0.0
Sharjah,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0.0,4.0
Sharjah,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Dubai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,0.0,4.0
Sharjah,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,4.0
Sharjah,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,3.0
Dubai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,27.0,0.0
Mumbai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Delhi Capitals,0.0,4.0
Mumbai,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Punjab Kings,0.0,5.0
Mumbai,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,Gujarat Titans,0.0,5.0
Pune,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,61.0,0.0
Mumbai,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,3.0
Mumbai,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Lucknow Super Giants,0.0,6.0
Mumbai,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,6.0
Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,23.0,0.0
Pune,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,Gujarat Titans,14.0,0.0
Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,54.0,0.0
Mumbai,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,field,Lucknow Super Giants,12.0,0.0
Mumbai,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,4.0
Pune,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,5.0
Mumbai,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,Lucknow Super Giants,0.0,6.0
Mumbai,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Gujarat Titans,0.0,6.0
Mumbai,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,8.0
Pune,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,7.0
Mumbai,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,44.0,0.0
Mumbai,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,field,Rajasthan Royals,3.0,0.0
Mumbai,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,8.0
Mumbai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,23.0,0.0
Pune,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,12.0,0.0
Mumbai,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Gujarat Titans,37.0,0.0
Mumbai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,7.0
Mumbai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,18.0,0.0
Mumbai,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,16.0,0.0
Mumbai,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,7.0
Pune,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,0.0,3.0
Mumbai,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Rajasthan Royals,7.0,0.0
Mumbai,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Royal Challengers Bangalore,18.0,0.0
Mumbai,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,0.0,9.0
Navi Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,3.0
Mumbai,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,15.0,0.0
Navi Mumbai,Gujarat Titans,Gujarat Titans,Kolkata Knight Riders,bat,Gujarat Titans,8.0,0.0
Mumbai,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,9.0
Mumbai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,36.0,0.0
Mumbai,Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,11.0,0.0
Pune,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,29.0,0.0
Mumbai,Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans,field,Gujarat Titans,0.0,5.0
Mumbai,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0.0,4.0
Pune,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,20.0,0.0
Mumbai,Royal Challengers Bangalore,Royal Challengers Bangalore,Gujarat Titans,bat,Gujarat Titans,0.0,6.0
Navi Mumbai,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Mumbai,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,bat,Lucknow Super Giants,6.0,0.0
Pune,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,13.0,0.0
Mumbai,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Navi Mumbai,Gujarat Titans,Gujarat Titans,Punjab Kings,bat,Punjab Kings,0.0,8.0
Pune,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore,13.0,0.0
Mumbai,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,Delhi Capitals,21.0,0.0
Mumbai,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,5.0,0.0
Mumbai,Punjab Kings,Punjab Kings,Rajasthan Royals,bat,Rajasthan Royals,0.0,6.0
Pune,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Lucknow Super Giants,75.0,0.0
Mumbai,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,67.0,0.0
Navi Mumbai,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,Chennai Super Kings,91.0,0.0
Navi Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,52.0,0.0
Pune,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,bat,Gujarat Titans,62.0,0.0
Navi Mumbai,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,0.0,8.0
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Mumbai,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,54.0,0.0
Pune,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,54.0,0.0
Mumbai,Chennai Super Kings,Chennai Super Kings,Gujarat Titans,bat,Gujarat Titans,0.0,7.0
Mumbai,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,bat,Rajasthan Royals,24.0,0.0
Navi Mumbai,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,17.0,0.0
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,3.0,0.0
Navi Mumbai,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,bat,Lucknow Super Giants,2.0,0.0
Mumbai,Gujarat Titans,Gujarat Titans,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,8.0
Mumbai,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,0.0,5.0
Mumbai,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Mumbai,Sunrisers Hyderabad,Sunrisers Hyderabad,Punjab Kings,bat,Punjab Kings,0.0,5.0
Kolkata,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,0.0,7.0
Kolkata,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Royal Challengers Bangalore,14.0,0.0
Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,7.0
Ahmedabad,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,bat,Gujarat Titans,0.0,7.0
Ahmedabad,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Gujarat Titans,0.0,5.0
Chandigarh,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Punjab Kings,7.0,0.0
Lucknow,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,Lucknow Super Giants,50.0,0.0
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Rajasthan Royals,72.0,0.0
Bengaluru,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,8.0
Chennai,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,field,Chennai Super Kings,12.0,0.0
Delhi,Gujarat Titans,Delhi Capitals,Gujarat Titans,field,Gujarat Titans,0.0,6.0
Guwahati,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Punjab Kings,5.0,0.0
Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,81.0,0.0
Lucknow,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,0.0,5.0
Guwahati,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,57.0,0.0
Mumbai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,7.0
Ahmedabad,Gujarat Titans,Gujarat Titans,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,3.0
Hyderabad,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,8.0
Bengaluru,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,Lucknow Super Giants,0.0,1.0
Delhi,Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Mumbai Indians,0.0,6.0
Chennai,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,3.0,0.0
Chandigarh,Gujarat Titans,Punjab Kings,Gujarat Titans,field,Gujarat Titans,0.0,6.0
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,23.0,0.0
Bengaluru,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,Royal Challengers Bangalore,23.0,0.0
Lucknow,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Punjab Kings,0.0,2.0
Mumbai,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,0.0,5.0
Ahmedabad,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Bengaluru,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,8.0,0.0
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,14.0,0.0
Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,field,Lucknow Super Giants,10.0,0.0
Chandigarh,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,Royal Challengers Bangalore,24.0,0.0
Delhi,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,Delhi Capitals,0.0,4.0
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,0.0,7.0
Lucknow,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,bat,Gujarat Titans,7.0,0.0
Mumbai,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Punjab Kings,13.0,0.0
Bengaluru,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,7.0,0.0
Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Chennai Super Kings,49.0,0.0
Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,bat,Delhi Capitals,7.0,0.0
Ahmedabad,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,55.0,0.0
Bengaluru,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,21.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,32.0,0.0
Chandigarh,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,Lucknow Super Giants,56.0,0.0
Kolkata,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,field,Gujarat Titans,0.0,7.0
Delhi,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,9.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Punjab Kings,bat,Punjab Kings,0.0,4.0
Mumbai,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,0.0,6.0
Lucknow,Royal Challengers Bangalore,Royal Challengers Bangalore,Lucknow Super Giants,bat,Royal Challengers Bangalore,18.0,0.0
Ahmedabad,Delhi Capitals,Delhi Capitals,Gujarat Titans,bat,Delhi Capitals,5.0,0.0
Chandigarh,Mumbai Indians,Punjab Kings,Mumbai Indians,field,Mumbai Indians,0.0,6.0
Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,5.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,bat,Gujarat Titans,0.0,9.0
Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,Chennai Super Kings,0.0,6.0
Delhi,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,0.0,7.0
Ahmedabad,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,Gujarat Titans,56.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,0.0,4.0
Kolkata,Punjab Kings,Punjab Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,5.0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,6.0
Chennai,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,27.0,0.0
Kolkata,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Rajasthan Royals,0.0,9.0
Mumbai,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,Mumbai Indians,27.0,0.0
Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,bat,Lucknow Super Giants,0.0,7.0
Delhi,Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,31.0,0.0
Jaipur,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,112.0,0.0
Chennai,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,0.0,6.0
Ahmedabad,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Gujarat Titans,34.0,0.0
Lucknow,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,field,Lucknow Super Giants,5.0,0.0
Dharamsala,Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,15.0,0.0
Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,8.0
Dharamsala,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,4.0
Delhi,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Chennai Super Kings,77.0,0.0
Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Lucknow Super Giants,1.0,0.0
Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,0.0,8.0
Bengaluru,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,field,Gujarat Titans,0.0,6.0
Chennai,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Chennai Super Kings,15.0,0.0
Chennai,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,bat,Mumbai Indians,81.0,0.0
Ahmedabad,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,62.0,0.0
Ahmedabad,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,field,Chennai Super Kings,0.0,5.0
Chennai,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,0.0,6.0
Mohali,Punjab Kings,Delhi Capitals,Punjab Kings,field,Punjab Kings,0.0,4.0
Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,4.0,0.0
Jaipur,Rajasthan Royals,Rajasthan Royals,Lucknow Super Giants,bat,Rajasthan Royals,20.0,0.0
Ahmedabad,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,Gujarat Titans,6.0,0.0
Bengaluru,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0.0,4.0
Chennai,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,Chennai Super Kings,63.0,0.0
Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,31.0,0.0
Jaipur,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Rajasthan Royals,12.0,0.0
Bengaluru,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,7.0
Lucknow,Lucknow Super Giants,Lucknow Super Giants,Punjab Kings,bat,Lucknow Super Giants,21.0,0.0
Ahmedabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans,bat,Gujarat Titans,0.0,7.0
Visakhapatnam,Delhi Capitals,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,20.0,0.0
Mumbai,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,0.0,6.0
Bengaluru,Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore,field,Lucknow Super Giants,28.0,0.0
Visakhapatnam,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,106.0,0.0
Ahmedabad,Punjab Kings,Gujarat Titans,Punjab Kings,field,Punjab Kings,0.0,3.0
Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,6.0
Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,0.0,6.0
Mumbai,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,29.0,0.0
Lucknow,Lucknow Super Giants,Lucknow Super Giants,Gujarat Titans,bat,Lucknow Super Giants,33.0,0.0
Chennai,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,0.0,7.0
Mohali,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Sunrisers Hyderabad,2.0,0.0
Jaipur,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,Gujarat Titans,0.0,3.0
Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,0.0,7.0
Lucknow,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,bat,Delhi Capitals,0.0,6.0
Mohali,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,3.0
Kolkata,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,field,Kolkata Knight Riders,0.0,8.0
Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,20.0,0.0
